2026-04-27T14:42:17.602+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Starting MedicalAppointmentSystemApplication using Java 17.0.18 with PID 44272 (C:\Users\user\IdeaProjects\medical-appointment-system\target\classes started by user in C:\Users\user\IdeaProjects\medical-appointment-system)
2026-04-27T14:42:17.613+03:00 DEBUG 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Running with Spring Boot v3.2.0, Spring v6.1.1
2026-04-27T14:42:17.614+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : No active profile set, falling back to 1 default profile: "default"
2026-04-27T14:42:18.966+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-27T14:42:19.092+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 95 ms. Found 5 JPA repository interfaces.
2026-04-27T14:43:48.107+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 55 мс
2026-04-27T14:44:04.281+03:00  INFO 44272 --- [http-nio-8081-exec-8] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 10 мс
2026-04-27T14:44:04.301+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 30 мс
2026-04-27T14:44:04.303+03:00  INFO 44272 --- [http-nio-8081-exec-9] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 6 мс
2026-04-27T14:44:04.334+03:00  INFO 44272 --- [http-nio-8081-exec-2] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 20 мс
2026-04-27T14:44:27.788+03:00  INFO 44272 --- [http-nio-8081-exec-10] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 25 мс
2026-04-27T14:44:27.799+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 36 мс
2026-04-27T14:44:27.819+03:00  INFO 44272 --- [http-nio-8081-exec-6] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 23 мс
2026-04-27T14:44:27.844+03:00  INFO 44272 --- [http-nio-8081-exec-3] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 33 мс
2026-04-27T14:44:35.781+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 7 мс
2026-04-27T14:44:35.797+03:00  INFO 44272 --- [http-nio-8081-exec-9] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 5 мс
2026-04-27T14:44:35.797+03:00  INFO 44272 --- [http-nio-8081-exec-8] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 23 мс
2026-04-27T14:44:35.824+03:00  INFO 44272 --- [http-nio-8081-exec-2] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 20 мс
2026-04-27T14:45:14.032+03:00  INFO 44272 --- [http-nio-8081-exec-10] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 50 мс
2026-04-27T14:45:14.073+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 25 мс
2026-04-27T14:45:14.085+03:00  INFO 44272 --- [http-nio-8081-exec-3] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 3 мс
2026-04-27T14:45:14.090+03:00  INFO 44272 --- [http-nio-8081-exec-6] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 17 мс
2026-04-27T14:45:14.090+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 0 мс
2026-04-27T14:45:14.106+03:00  INFO 44272 --- [http-nio-8081-exec-8] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 8 мс
2026-04-27T15:17:37.538+03:00  WARN 44272 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=32m45s812ms106µs500ns).
2026-04-27T15:17:39.526+03:00  INFO 44272 --- [http-nio-8081-exec-1] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 82 мс
2026-04-27T15:17:39.576+03:00  INFO 44272 --- [http-nio-8081-exec-3] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 11 мс
2026-04-27T15:17:39.599+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 34 мс
2026-04-27T15:17:39.606+03:00  INFO 44272 --- [http-nio-8081-exec-6] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 7 мс
2026-04-27T15:17:39.628+03:00  INFO 44272 --- [http-nio-8081-exec-10] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 74 мс
2026-04-27T15:17:39.647+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 22 мс
2026-04-27T15:17:49.264+03:00  INFO 44272 --- [http-nio-8081-exec-5] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 26 мс
2026-04-27T15:17:49.298+03:00  INFO 44272 --- [http-nio-8081-exec-1] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 58 мс
2026-04-27T15:17:49.310+03:00  INFO 44272 --- [http-nio-8081-exec-3] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 26 мс
2026-04-27T15:17:49.359+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 37 мс
2026-04-27T15:32:44.170+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 32 мс
